web-scraper-order,web-scraper-start-url,nama_produk,harga_produk
"1756425688-40","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Nice Sosis Siap Makan Premium Original 60G","Rp 8.600"
"1756425688-41","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Potabee Snack Potato Chips Spicy Bbq 68G","Rp 10.900"
"1756425688-42","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Lite Snack Potato Aburi Seaweed 65G","Rp 11.900"
"1756425688-43","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mujigae Rapokki Spicy 260G","Rp 19.900"
"1756425688-44","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kimbo Probites American Cheese 50G","Rp 8.900"
"1756425688-45","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Sausage Ready To Go Original 65G","Rp 8.600"
"1756425688-46","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kimbo Probites Korean 60G","Rp 8.900"
"1756425688-47","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Keju 60G","Rp 8.900"
"1756425688-48","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Hot 65G","Rp 8.900"
"1756425688-49","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Original 65G","Rp 8.900"
"1756425688-50","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Super Bubur Instant Bergizi Abon Sapi 49G","Rp 3.900"
"1756425688-51","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso Keju 48G","Rp 8.900"
"1756425688-52","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso Original 48G","Rp 8.900"
"1756425688-53","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mujigae Topokki 170G","Rp 21.800"
"1756425688-54","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Ratu Abon Sapi 100G","Rp 26.600"
"1756425688-55","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Gochujang 60G","Rp 8.900"
"1756425688-56","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Mini 65G","Rp 8.900"
"1756425688-57","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso Hot 55G","Rp 8.900"
"1756425688-58","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mujigae Jajangmyeon 265G","Rp 21.700"
"1756425688-59","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mamasuka Topokki Korean Rice Cake Spicy 132G","Rp 20.500"
"1756425688-60","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mamasuka Sup Krim Ayam 55G","Rp 9.600"
"1756425688-61","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Indomaret Abon Sapi 100G","Rp 15.700"
"1756425688-62","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Super Bubur Instant Bergizi Ayam 45G","Rp 3.900"
"1756425688-63","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mamasuka Topokki Korean Rice Cake Original 132G","Rp 20.500"
